ts,lat,lng,speed,isha,distance,event_flag,fl_level,gsm_signal,direction,external_bat_voltage,internal_bat_voltage,satellites,hdop,pluscode
5/21/2021 15:03,12.933977,77.689484,59,False,16275851,3072,115,18,47,13691,3924,14,0.69,7J4VWMMQ+
5/21/2021 15:03,12.932993,77.688393,52,False,16275623,3072,72,18,47,13691,3924,14,0.69,7J4VWMMQ+
5/21/2021 15:03,12.93497,77.69059,59,False,16275966,3072,158,28,47,13736,3886,13,0.73,7J4VWMMR+
5/21/2021 15:03,12.936002,77.691704,58,False,16276181,3072,115,28,47,13661,3886,14,0.69,7J4VWMPR+
5/21/2021 15:03,12.936988,77.692734,53,False,16276295,3072,493,23,46,13661,3918,14,0.69,7J4VWMPV+
5/21/2021 15:03,12.937862,77.693489,42,False,16276499,3072,536,23,43,13557,3918,14,0.69,7J4VWMQV+
5/21/2021 15:03,12.938615,77.694313,42,False,16276609,3072,115,24,42,13751,3918,14,0.69,7J4VWMQV+
5/21/2021 15:03,12.939233,77.694878,21,False,16276713,3072,72,24,35,13527,3918,14,0.69,7J4VWMQV+
5/21/2021 15:03,12.939525,77.695396,28,False,16276713,3072,72,28,67,13706,3924,14,0.69,7J4VWMQW+
5/21/2021 15:03,12.94,77.695831,29,False,16276814,3072,72,28,30,13706,3924,14,0.69,7J4VWMQW+
5/21/2021 15:03,12.940482,77.696106,9,False,16276814,3072,72,23,39,13691,3880,14,0.69,7J4VWMRW+
5/21/2021 15:03,12.941063,77.696442,35,False,16276915,3072,72,23,30,13781,3880,14,0.69,7J4VWMRW+
5/21/2021 15:03,12.941757,77.696815,34,False,16277017,3072,72,31,29,13781,3891,13,0.73,7J4VWMRW+
5/21/2021 15:03,12.942437,77.697266,34,False,16277123,3072,72,31,29,13616,3891,14,0.69,7J4VWMRW+
5/21/2021 15:03,12.943317,77.697685,45,False,16277224,3072,72,27,21,13736,3902,14,0.69,7J4VWMVX+
5/21/2021 15:03,12.944187,77.698013,38,False,16277326,3072,72,27,21,13736,3902,14,0.69,7J4VWMVX+
5/21/2021 15:03,12.94507,77.698296,29,False,16277432,3072,72,29,21,13542,3891,13,0.73,7J4VWMWX+
5/21/2021 15:03,12.945765,77.698524,31,False,16277532,3072,72,29,14,13706,3891,13,0.73,7J4VWMWX+
5/21/2021 15:03,12.94667,77.698845,44,False,16277632,3072,72,23,18,13766,3918,14,0.69,7J4VWMWX+
5/21/2021 15:03,12.947722,77.699196,39,False,16277734,3072,72,23,17,13721,3918,14,0.69,7J4VWMXX+
5/21/2021 15:03,12.94869,77.699516,43,False,16277836,3072,72,20,14,13721,3880,13,0.73,7J4VWMXX+
5/21/2021 15:04,12.949545,77.699722,31,False,16277942,3072,79,20,20,13527,3880,10,0.93,7J4VWMXX+
5/21/2021 15:04,12.950132,77.70018,22,False,16278046,3072,93,31,98,13766,3929,12,0.77,7J4VXP22+
5/21/2021 15:04,12.949952,77.700928,27,False,16278147,3072,93,31,102,13721,3891,12,0.77,7J4VWPX2+
